,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_class_weight,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.03125321865081787,0.0,0.9232876712328767,0.9376645480663315,100,balanced,linear,"{'C': 100, 'class_weight': 'balanced', 'kernel': 'linear'}",7,0.9274965800273598,0.9327846364883402,0.9190672153635117,0.9425444596443229,1.1920928955078125e-07,0.0,0.004214678377444514,0.004879911577991336
1,0.007813811302185059,0.007812976837158203,0.9328767123287671,0.9602776511121245,100,balanced,rbf,"{'C': 100, 'class_weight': 'balanced', 'kernel': 'rbf'}",6,0.920656634746922,0.9629629629629629,0.9451303155006858,0.957592339261286,0.007813811302185059,0.007812976837158203,0.012236828895510036,0.002685311850838479
2,0.039087772369384766,0.0,0.9232876712328767,0.9376645480663315,200,balanced,linear,"{'C': 200, 'class_weight': 'balanced', 'kernel': 'linear'}",7,0.9261285909712722,0.9327846364883402,0.9204389574759945,0.9425444596443229,0.007794380187988281,0.0,0.002844814078453202,0.004879911577991336
3,0.007813811302185059,0.0078125,0.9376712328767123,0.9637032533369363,200,balanced,rbf,"{'C': 200, 'class_weight': 'balanced', 'kernel': 'rbf'}",5,0.9247606019151847,0.9670781893004116,0.9506172839506173,0.960328317373461,0.007813811302185059,0.0078125,0.012928328887535121,0.0033749359634752674
4,0.08594703674316406,0.0,0.9232876712328767,0.9369805535382878,300,balanced,linear,"{'C': 300, 'class_weight': 'balanced', 'kernel': 'linear'}",7,0.9261285909712722,0.9327846364883402,0.9204389574759945,0.9411764705882353,0.023438215255737305,0.0,0.002844814078453202,0.0041959170499475396
5,0.007792949676513672,0.007811069488525391,0.9397260273972603,0.9664448610337043,300,balanced,rbf,"{'C': 300, 'class_weight': 'balanced', 'kernel': 'rbf'}",4,0.9247606019151847,0.9711934156378601,0.9547325102880658,0.9616963064295485,0.007792949676513672,0.007811069488525391,0.014985940125677543,0.004748554604155797
6,0.10938394069671631,0.007814764976501465,0.9232876712328767,0.9369805535382878,400,balanced,linear,"{'C': 400, 'class_weight': 'balanced', 'kernel': 'linear'}",7,0.9261285909712722,0.9327846364883402,0.9204389574759945,0.9411764705882353,0.03125321865081787,0.007814764976501465,0.002844814078453202,0.0041959170499475396
7,0.007813692092895508,0.0078116655349731445,0.9424657534246575,0.9691864687304723,400,balanced,rbf,"{'C': 400, 'class_weight': 'balanced', 'kernel': 'rbf'}",2,0.9302325581395349,0.9753086419753086,0.9547325102880658,0.9630642954856361,0.007813692092895508,0.0078116655349731445,0.012249964580568894,0.006122173244836271
8,0.1484529972076416,0.007814645767211914,0.9232876712328767,0.9369805535382878,500,balanced,linear,"{'C': 500, 'class_weight': 'balanced', 'kernel': 'linear'}",7,0.9261285909712722,0.9327846364883402,0.9204389574759945,0.9411764705882353,0.03906655311584473,0.007814645767211914,0.002844814078453202,0.0041959170499475396
9,0.015626072883605957,0.0,0.9417808219178082,0.9698704632585162,500,balanced,rbf,"{'C': 500, 'class_weight': 'balanced', 'kernel': 'rbf'}",3,0.9316005471956225,0.9753086419753086,0.9519890260631001,0.9644322845417237,1.0728836059570312e-06,0.0,0.010194229868863402,0.0054381787167924744
10,0.14063811302185059,0.0,0.9232876712328767,0.9369805535382878,600,balanced,linear,"{'C': 600, 'class_weight': 'balanced', 'kernel': 'linear'}",7,0.9261285909712722,0.9327846364883402,0.9204389574759945,0.9411764705882353,0.015622615814208984,0.0,0.002844814078453202,0.0041959170499475396
11,0.015610814094543457,0.0,0.9431506849315069,0.9705544577865599,600,balanced,rbf,"{'C': 600, 'class_weight': 'balanced', 'kernel': 'rbf'}",1,0.9343365253077975,0.9753086419753086,0.9519890260631001,0.9658002735978112,1.919269561767578e-05,0.0,0.008826242096309079,0.0047541841887487335
